CAT,LIB
Education-Books & Supplies,DPAIEMENT TPE PORTEUR UIB STATIONERY STORES FRIKHA MOUNIR
Food & Dining-Bakerise,DPAIEMENT TPE PORTEUR UIB BAKERIES SOCIETE  SOUAD  DIFFUSIO
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB HARDWARE STORES STE ITECH PRO
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB JEWELLERY  STORES JOAILLERIE LAROUS
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC MAGAZIN ZEN MONASTIR
Travel-Rental Car & Taxi,DPAIEMENT TPE PORTEUR CONF ENTERPRISE RENT-A-CAR SOCIETE KHEMAKHEM  LOCAT
Health & Fitness-Medical Equipment & analysis ,DPAIEMENT TPE PORTEUR UIB MEDICAL EQUIPMENT and SUPPLIE SOCIETE BASTIDE TUNSIE
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE ANOUAR EXPRESS 2
Travel-Travel Agencies,DPAIEMENT TPE PORTEUR CONF TRAVEL AGENCIES STE UNIVERS TRAVELS
Shopping-Groceries,DPAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE.M'BARKI
Travel-Air Travel,DPAIEMENT TPE PORTEUR UIB AIRLINES and  AIR CARRIRS STE HORIZON VOYAGES
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB SHOE STORES SHOES CENTER/  SODEXO
"Food & Dining-Restaurants, Fast Food & Coffee shops",DPAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  CENTRE X/SODEXO
Shopping-General,DPAIEMENT TPE PORTEUR UIB RSPECIALITY RETAIL CEG
Shopping-Home,DPAIEMENT TPE PORTEUR UIB HOME FURN.EQUIP. STE EUPHORIA HOME SARL
Health & Fitness-Eye care,DPAIEMENT TPE PORTEUR UIB OPTICIANS.OPTICAL GOODS SINDA ANTAR
Food & Dining-Meat & fish,DPAIEMENT TPE PORTEUR UIB SEAFOOD and MEAT/FOOD STORES BOUCHERIE ADEL CHOYAKH
Travel-Hotel,DPAIEMENT TPE PORTEUR UIB HOTELS-LODING HTL RIADH PALMS
Personal Care-Beauty & Hair,DPAIEMENT TPE PORTEUR UIB COSMETIC STORES STE 3 M COSMETIQUE
Auto & Transport-Car Rental,DPAIEMENT TPE PORTEUR UIB CAR RENTAL STE MABROUK  RENT A CAR
Shopping-Clothing,DPAIEMENT TPE PORTEUR CONF MENS and  BOYS CLOTHES Commerce habillement pret a porter
Food & Dining-Bars,"DPAIEMENT TPE PORTEUR UIB DISCOTHEQUE,NIGHT CLUB,CABARET ET BAR SKY BAR SARL"
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB ELECTRONICE STORES STE ELECTRO-SAT GROS
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB Ready to wear MAGAZIN ZEDD SFAX
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB FAMILY CLOTHING STORES STE LIS NEGOCE
Bills and Utilities-Mobile Phone,DPAIEMENT TPE PORTEUR UIB TELECOMMUNICATIONS EQUP. RECHARGE DAB UIB
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB ELECTRIC STORES STE EL KSAR
Shopping-Home,DPAIEMENT TPE PORTEUR CONF BUILDING MATERIALS STORES LABBEN FETHI
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB CHILD CLOTHES STE MHIRI DISTRIBUTION
Health & Fitness-Doctors & Hospitals,DPAIEMENT TPE PORTEUR UIB DENTISTS DR ZIED BEN ROMDHANE
Shopping-Clothing,DPAIEMENT TPE PORTEUR UIB WOMENS ACCESSORY FOREVER LIVING PRODUCTS
Auto & Transport-Gas & Fuel,DPAIEMENT TPE PORTEUR UIB Petroleum/Petrol products MOUHAJRI STATIONS SERVICES TOTAL
Shopping-Electronics & Software,DPAIEMENT TPE PORTEUR UIB COMPUTER SOFTWARE STORES DIGITAL WORLD SARL
Health & Fitness-Doctors & Hospitals,DPAIEMENT TPE PORTEUR UIB HOSPITALS I.H.C.T
Health & Fitness-Medical Equipment & analysis ,DPAIEMENT TPE PORTEUR UIB MEDICAL SERVICES and HEALTH MME DALILA ABROUG
