LIB,CAT
CLÔTURE DE COMPTE-   ,Bank Fees & Commissions
REMBOURS. ECHEANCE CREDIT-   ,credit repayment
KIT OXYGENE SMS-   ,Bank products
FRAIS ECHEANCE CRD IMPAYEE-   ,Late Fee
DOMICILIATION TIT COMM-   ,Commissions
TRF-FINAN-FIXING-   ,Bank Fees & Commissions
CAP EPARGNE-   ,saving
JOKER KIT-   ,Bank products
CERTIF. CHEQUE-   ,Bank Fees & Commissions
COM MEP AUTO-   ,Bank Fees & Commissions
PERCEPT/EXTOURNE COMMISSIONS-   ,Commissions
CHQ AUTRE AG RECU-   ,Bank Fees & Commissions
VIREMENT EMIS AUTRE BANQUE-   ,Bank Fees & Commissions
CHQ RECUS COMP-   ,Bank Fees & Commissions
KIT VISA ELECTRON SMS-   ,Bank products
RECUPERATION FRAIS ARCHIVES-   ,Bank Fees & Commissions
REGULARISATION-   ,Bank Fees & Commissions
PRELEVEMENT NUMERO:-   ,Bank Fees & Commissions
ABONNEMENT MESSA'GEK-   ,Bank products
SOUSCRIPTION CAT-   ,Bank products
FRAIS/REMISE CHQ-   ,Bank Fees & Commissions
FRAIS DE TENUE DE COMPTE-   ,Bank Fees & Commissions
TRF-SCOL-FIXING-   ,Bank Fees & Commissions
BLOCAGE / CPTE MARGE-   ,Late Fee
PERCEP/EXT COM.CAUT.EMISES SBE-   ,Commissions
FRAIS DE DEPASSEMENT-   ,Late Fee
RECOUV. IMPAYES CREDIT-   ,credit repayment
COMM. REMB. ANTICIPE CRD-   ,Commissions
RPT-FIN-FIXING-   ,Bank Fees & Commissions
DEMANDE EXTRAIT DE COMPTE-   ,Bank Fees & Commissions
BLOCAGE PROV.CHQ-   ,Late Fee
SAISIE DE L'AVAL EN DEVISE-   ,Bank Fees & Commissions
ASSUR FAMILLE-   ,Bank products
ASSURANCE JOKER-   ,Bank products
EXT-BLOCAGE/CHQ-   ,Late Fee
FR. MISE EN PLACE CREDIT-   ,credit repayment
KIT MASTERCARD NATIONALE SMS,Bank products
KIT VISA ELECTRON UIBNET SMS,Bank products
KIT OXYGENE UIBNET,Bank products
COM MEP/ANN PROCURATION/CPTE,Bank Fees & Commissions
AMENDE 10-20% TRESOR,Bank Fees & Commissions
COM . DELIVRANCE  ATTESTATION,Bank Fees & Commissions
REEDITION CODE  PIN,Bank Fees & Commissions
TRAITEMENT JURIDIQUE,Finance Charge
PACK PLATINE,Bank products
UIBNET,Bank products
RECOUV IMP CDT CAP,Service Fee
OUVER REMDOC IMP DOM,credit repayment
KIT VISA ELECTRON UIBNET SMS,Bank products
ABONNEMENT UIBSWIFT,Bank products
ANNULATION CREDOC IMP,credit repayment
ABONNEMENT CARTE OXYGENE,Bank products
ABONNEMENT CARTE MOUV,Bank products
KIT TP UIBNET,Bank products
KIT BUS INTERN. UIBNET PRO,Bank products
ABONNEMENT MASTER NAT,Bank products
ABONNEMENT CARTE CIBT,Bank products
OPPOSITION,Bank Fees & Commissions
UIB@NKING MT940 CONFRERE,Bank products
IT BUS INTERN. UIBNET PRO,Bank products
IT BUS NATION. UIBNET PRO,Bank products
FRAIS REMISES CHQ,Bank Fees & Commissions
AVAL PAYE,credit repayment
IT PRO,Bank products
IT BUSINESS INETRNATIONAL SMS,Bank products
IB@NKING MT940 CONFRERE,Bank products
PPOSITION,Bank Fees & Commissions
ACK PLATINE DC,Bank products
OUVER REMDOC EXP,credit repayment
ACK PLATINE INR,Bank products
IT BUS NATION. UIBNET SMS PRO,Bank products
IT MASTERCARD NAT UIBNET SMS,Bank products
BONNEMENT CARTE MOUV,Bank products
BONNEMENT CARTE BUSINESS NAT,Bank products
BONNEMENT C. BUSINESS INTER,Bank products
PPOSITION CHQ,Bank Fees & Commissions
NOUVEAUX DIGIPASS,Bank products
IT PRO ALLIANCE,Bank products
REFECTION CARTE VE,Bank products
IT TP MESSAGEK,Bank products
TRF-INTRA-FIXING,Bank Fees & Commissions
IT BUS INTETN. UIBNET SMS PRO,Bank products
IT TP UIBNET,Bank products
IT BUSINESS NATIONALE SMS,Bank products
IMPAYES DE CONSOLIDATION,credit repayment
ACK PLATINE D,Bank products
TRF-SANS FRAIS-FIXING,Bank Fees & Commissions
REGUL RECOUV CLT,Finance Charge
LOCATION COFFRE-FORT,Bank products
COMMISSION / AVA,Commissions
BONNEMENT UIB@NKING,Bank products
IT OXYGENE UIBNET SMS,Bank products
IT MASTERCARD NATIONAL UIBNET,Bank products
REG CREDOC EXP N CONF CLIENT,credit repayment
SAISIE D'OBLIGATION CAUTIONNEE,Bank Fees & Commissions
ABON CARTE PLAT. BUSINES INTER,Bank products
OKER PRO KIT PRO,Bank products
BONNEMENT MASTER NAT,Bank products
BONNEMENT CARTE CIBT,Bank products
REGLEMENT ECHEANCE ALTERNA,credit repayment
IB@NKING INTRADAY MT942,Bank products
AVA FRAIS MENSUEL,Bank Fees & Commissions
BONNEMENT CARTE PLATINUM BUSI,Bank products
BONNEMENT PLATINUM NAT,Bank products
RECHARGE GAB,Bank Fees & Commissions
AISIE D'AVAL EN DINARS,Bank Fees & Commissions
UV CREDOC EXP NON CONF CLIENT,credit repayment
BONNEMENT MASTER INT,Bank products
ODIF REMDOC EXP,credit repayment
PROVISION COFFRE FORT,Bank products
RAIS CONTENTIEUX,Late Fee
RETENUE-SOURCE / PV,Bank Fees & Commissions
IB@NKING DEVISES MT101,Bank products
BONNEMENT SAFAR CARD,Bank products
AISIE AUTRES CAUTIONNEMENTS,Bank Fees & Commissions
BONNEMENT PLATINUM INTERNAT,Bank products
MODIF REMDOC IMP DOM,Bank Fees & Commissions
REFECTION CARTE OXY,Bank products
ECHEANCE DAT NANTI,credit repayment
AGIOS DU JJMMAA AU JJMMAA,Bank Fees & Commissions
INT RETARD / IMP,Late Fee
HARGEMENT CARTE MOUV,Bank products
EFECTION CARTE KINZ,Bank products
HQ EN TND / CPTE EN DEV,Bank Fees & Commissions
BONNEMENT UIB SIOR,Bank products
CLÔTURE DE COMPTE-   ,Bank Fees & Commissions
REMBOURS. ECHEANCE CREDIT-   ,credit repayment
KIT OXYGENE SMS-   ,Bank products
FRAIS ECHEANCE CRD IMPAYEE-   ,Late Fee
DOMICILIATION TIT COMM-   ,Commissions
TRF-FINAN-FIXING-   ,Bank Fees & Commissions
CAP EPARGNE-   ,saving
JOKER KIT-   ,Bank products
CERTIF. CHEQUE-   ,Bank Fees & Commissions
COM MEP AUTO-   ,Bank Fees & Commissions
PERCEPT/EXTOURNE COMMISSIONS-   ,Commissions
CHQ AUTRE AG RECU-   ,Bank Fees & Commissions
VIREMENT EMIS AUTRE BANQUE-   ,Bank Fees & Commissions
CHQ RECUS COMP-   ,Bank Fees & Commissions
KIT VISA ELECTRON SMS-   ,Bank products
RECUPERATION FRAIS ARCHIVES-   ,Bank Fees & Commissions
REGULARISATION-   ,Bank Fees & Commissions
PRELEVEMENT NUMERO:-   ,Bank Fees & Commissions
ABONNEMENT MESSA'GEK-   ,Bank products
SOUSCRIPTION CAT-   ,Bank products
FRAIS/REMISE CHQ-   ,Bank Fees & Commissions
FRAIS DE TENUE DE COMPTE-   ,Bank Fees & Commissions
TRF-SCOL-FIXING-   ,Bank Fees & Commissions
BLOCAGE / CPTE MARGE-   ,Late Fee
PERCEP/EXT COM.CAUT.EMISES SBE-   ,Commissions
FRAIS DE DEPASSEMENT-   ,Late Fee
RECOUV. IMPAYES CREDIT-   ,credit repayment
COMM. REMB. ANTICIPE CRD-   ,Commissions
RPT-FIN-FIXING-   ,Bank Fees & Commissions
DEMANDE EXTRAIT DE COMPTE-   ,Bank Fees & Commissions
BLOCAGE PROV.CHQ-   ,Late Fee
SAISIE DE L'AVAL EN DEVISE-   ,Bank Fees & Commissions
ASSUR FAMILLE-   ,Bank products
ASSURANCE JOKER-   ,Bank products
EXT-BLOCAGE/CHQ-   ,Late Fee
FR. MISE EN PLACE CREDIT-   ,credit repayment
KIT MASTERCARD NATIONALE SMS,Bank products
KIT VISA ELECTRON UIBNET SMS,Bank products
KIT OXYGENE UIBNET,Bank products
COM MEP/ANN PROCURATION/CPTE,Bank Fees & Commissions
AMENDE 10-20% TRESOR,Bank Fees & Commissions
COM . DELIVRANCE  ATTESTATION,Bank Fees & Commissions
REEDITION CODE  PIN,Bank Fees & Commissions
TRAITEMENT JURIDIQUE,Finance Charge
PACK PLATINE,Bank products
UIBNET,Bank products
RECOUV IMP CDT CAP,Service Fee
OUVER REMDOC IMP DOM,credit repayment
KIT VISA ELECTRON UIBNET SMS,Bank products
ABONNEMENT UIBSWIFT,Bank products
ANNULATION CREDOC IMP,credit repayment
ABONNEMENT CARTE OXYGENE,Bank products
ABONNEMENT CARTE MOUV,Bank products
KIT TP UIBNET,Bank products
KIT BUS INTERN. UIBNET PRO,Bank products
ABONNEMENT MASTER NAT,Bank products
ABONNEMENT CARTE CIBT,Bank products
OPPOSITION,Bank Fees & Commissions
UIB@NKING MT940 CONFRERE,Bank products
IT BUS INTERN. UIBNET PRO,Bank products
IT BUS NATION. UIBNET PRO,Bank products
FRAIS REMISES CHQ,Bank Fees & Commissions
AVAL PAYE,credit repayment
IT PRO,Bank products
IT BUSINESS INETRNATIONAL SMS,Bank products
IB@NKING MT940 CONFRERE,Bank products
PPOSITION,Bank Fees & Commissions
ACK PLATINE DC,Bank products
OUVER REMDOC EXP,credit repayment
ACK PLATINE INR,Bank products
IT BUS NATION. UIBNET SMS PRO,Bank products
IT MASTERCARD NAT UIBNET SMS,Bank products
BONNEMENT CARTE MOUV,Bank products
BONNEMENT CARTE BUSINESS NAT,Bank products
BONNEMENT C. BUSINESS INTER,Bank products
PPOSITION CHQ,Bank Fees & Commissions
NOUVEAUX DIGIPASS,Bank products
IT PRO ALLIANCE,Bank products
REFECTION CARTE VE,Bank products
IT TP MESSAGEK,Bank products
TRF-INTRA-FIXING,Bank Fees & Commissions
IT BUS INTETN. UIBNET SMS PRO,Bank products
IT TP UIBNET,Bank products
IT BUSINESS NATIONALE SMS,Bank products
IMPAYES DE CONSOLIDATION,credit repayment
ACK PLATINE D,Bank products
TRF-SANS FRAIS-FIXING,Bank Fees & Commissions
REGUL RECOUV CLT,Finance Charge
LOCATION COFFRE-FORT,Bank products
COMMISSION / AVA,Commissions
BONNEMENT UIB@NKING,Bank products
IT OXYGENE UIBNET SMS,Bank products
