CAT,LIB
Education,PAIEMENT TPE PORTEUR UIB STATIONERY STORES FRIKHA MOUNIR
Food & Dining,PAIEMENT TPE PORTEUR UIB BAKERIES SOCIETE  SOUAD  DIFFUSIO
Shopping,PAIEMENT TPE PORTEUR UIB HARDWARE STORES STE ITECH PRO
Shopping,PAIEMENT TPE PORTEUR UIB JEWELLERY  STORES JOAILLERIE LAROUS
Shopping,PAIEMENT TPE PORTEUR UIB MISCELLANEOUS APPAREL and ACC MAGAZIN ZEN MONASTIR
Travel,PAIEMENT TPE PORTEUR CONF ENTERPRISE RENT-A-CAR SOCIETE KHEMAKHEM  LOCAT
Health & Fitness,PAIEMENT TPE PORTEUR UIB MEDICAL EQUIPMENT and SUPPLIE SOCIETE BASTIDE TUNSIE
Shopping,PAIEMENT TPE PORTEUR UIB SUPERMARKETS SUPERETTE ANOUAR EXPRESS 2
Travel,PAIEMENT TPE PORTEUR CONF TRAVEL AGENCIES STE UNIVERS TRAVELS
Shopping,PAIEMENT TPE PORTEUR UIB DRUG STORES PHCIE.M'BARKI
Travel,PAIEMENT TPE PORTEUR UIB AIRLINES and  AIR CARRIRS STE HORIZON VOYAGES
Shopping,PAIEMENT TPE PORTEUR UIB SHOE STORES SHOES CENTER/  SODEXO
Food & Dining,PAIEMENT TPE PORTEUR UIB RESTURANTS BAGUETTE  CENTRE X/SODEXO
Shopping,PAIEMENT TPE PORTEUR UIB RSPECIALITY RETAIL CEG
Shopping,PAIEMENT TPE PORTEUR UIB HOME FURN.EQUIP. STE EUPHORIA HOME SARL
Health & Fitness,PAIEMENT TPE PORTEUR UIB OPTICIANS.OPTICAL GOODS SINDA ANTAR
Food & Dining,PAIEMENT TPE PORTEUR UIB SEAFOOD and MEAT/FOOD STORES BOUCHERIE ADEL CHOYAKH
Travel,PAIEMENT TPE PORTEUR UIB HOTELS-LODING HTL RIADH PALMS
Personal Care,PAIEMENT TPE PORTEUR UIB COSMETIC STORES STE 3 M COSMETIQUE
Auto & Transport,PAIEMENT TPE PORTEUR UIB CAR RENTAL STE MABROUK  RENT A CAR
Shopping,PAIEMENT TPE PORTEUR CONF MENS and  BOYS CLOTHES Commerce habillement pret a porter
Food & Dining,"PAIEMENT TPE PORTEUR UIB DISCOTHEQUE,NIGHT CLUB,CABARET ET BAR SKY BAR SARL"
Shopping,PAIEMENT TPE PORTEUR UIB ELECTRONICE STORES STE ELECTRO-SAT GROS
Shopping,PAIEMENT TPE PORTEUR UIB Ready to wear MAGAZIN ZEDD SFAX
Shopping,PAIEMENT TPE PORTEUR UIB FAMILY CLOTHING STORES STE LIS NEGOCE
Bills and Utilities,PAIEMENT TPE PORTEUR UIB TELECOMMUNICATIONS EQUP. RECHARGE DAB UIB
Shopping,PAIEMENT TPE PORTEUR UIB ELECTRIC STORES STE EL KSAR
Shopping,PAIEMENT TPE PORTEUR CONF BUILDING MATERIALS STORES LABBEN FETHI
Shopping,PAIEMENT TPE PORTEUR UIB CHILD CLOTHES STE MHIRI DISTRIBUTION
Health & Fitness,PAIEMENT TPE PORTEUR UIB DENTISTS DR ZIED BEN ROMDHANE
Shopping,PAIEMENT TPE PORTEUR UIB WOMENS ACCESSORY FOREVER LIVING PRODUCTS
Auto & Transport,PAIEMENT TPE PORTEUR UIB Petroleum/Petrol products MOUHAJRI STATIONS SERVICES TOTAL
Shopping,PAIEMENT TPE PORTEUR UIB COMPUTER SOFTWARE STORES DIGITAL WORLD SARL
Health & Fitness,PAIEMENT TPE PORTEUR UIB HOSPITALS I.H.C.T
Health & Fitness,PAIEMENT TPE PORTEUR UIB MEDICAL SERVICES and HEALTH MME DALILA ABROUG
Entertainment,PAIEMENT TPE PORTEUR UIB GAMES STORES STE BOULILA GROS DE VENT
Health & Fitness,PAIEMENT TPE PORTEUR CONF EYEGLASSES STE OPTIC CENTRALE
Health & Fitness,PAIEMENT TPE PORTEUR UIB DOCTORS DR BAHLOUL SONIA
Personal Care,PAIEMENT TPE PORTEUR UIB HEALTH SPA /BEAUTY SPA LILI FORM
Shopping,PAIEMENT TPE PORTEUR UIB Tourist Attractions and Exhibits STE MERIAM SARL
Food & Dining,PAIEMENT TPE PORTEUR UIB BARS LE 716
Travel,PAIEMENT TPE PORTEUR UIB Tunis Air TRANSPORT AERIEN
Personal Care,"PAIEMENT TPE PORTEUR UIB BEAUTY SHOPS KESKES MAHASSEN "" CENTRE"
Shopping,PAIEMENT TPE PORTEUR UIB COMPUTERS PERIPHERAL EQU. STE MAGEEK.NET SARL
Shopping,PAIEMENT TPE PORTEUR UIB HOUSEHOLD APPLIANCE STORE STE DECOGATO
Education,PAIEMENT TPE PORTEUR UIB BOOK STORES ESPACE KOUNOUZ
